Text,Label,Predicted Senti 
"كعادة الرافعي لغة صعبة بالنسبة لبقية الكتب لكنها رائعة و بعضها يشعرك بالسكر في عالم الخيال و الوصف الذي ياخذك إليه... اكثر ما أحببت نص الشيخ أحمد و الصغيران و قد تحول في نصه الاخير عن وصف الحب وروعته إلى وصف. آلامه و جعله بابا من أبواب جهنم في الأرض لشدة تعذيب الواقع فيه...
",Positive,Positive
"سلاما أيتها الحرب:. طول أعوام الخصام. لم نكن نشكو الخصام. لم نكن نعرف طعم الفقد. أو فقد الطعام.. لم يكن يضطرب الأمن من الخوف،. ولا يمشي إلى الخلف الأمام.. كل شيء كان كالساعة يجري... بانتظام. هاهنا جيش عدو جاهز للاقتحام.. وهنا جيش نظام جاهز للانتقام.. من هنا نسمع إطلاق رصاص... من هنا نسمع إطلاق كلام.. وعلى اللحنين كنا كل عام. نولم الزاد على روح شهيد. وننام.. وعلى غير انتظار. زوجت صاعقة الصلح. بزلزال الوئام . فاستنرنا بالظلام.. واغتسلنا بالسخام.. واحتمينا بالحمام . وغدونا بعد أن كنا شهودا،. موضعا للإتهام.. وغدا جيش العدا يطرحنا أرضا. لكي يذبحنا جيش النظام . أقبلي، ثانية، أيتها الحرب... لنحيا في سلام
",Positive,Negative
"أحببت هذه الرواية بشدة واستمتعت كثيرا وأنا اتنقل بين فصولها تدريجيا من طفولة كلاوديو الى نضجه ، وأحببت أكثر أنها كانت بتلك البساطة الأشبه بتصوير حياة عادية روتينية تكاد تخلو من الاحداث . شعرت كثيرا وأنا بين الأسطر أني سافرت إلى اسبانيا ، هناك حيث يعيش كلاوديو ، بدأ بالمدينة التي كان يسكن ، الحي والشارع والمنزل ، غرفته وشجرة التين. عشت معه وبإهتمام تفاصيل حياته ومراحلها وجذبني إلى ذلك أكثر كونه رساما ومحبا للقراءة ومكتفيا بمحيطه الصغير ، كنت أرى نفسي كثيرا في تلك الأمور ..
",Positive,Positive
"هنا، صعقت بصرخة شاعرة قد وأدها الألم حية فبكيت معها وشهقت ألما وثورة على ما ذاقته من سجن روحي ونفسي وجسدي.. فاطمة، بعيني، لم تكن ثائرة على الدين بل متمردة على اليد الذكورية الصافعة التي تقدس الرجل وتجعل من المرأة رقيقا. إن كان فينا النقص فأنى لكم الكمال وقد كان الكمال لله وحده؟. علم المرأة وعملها ليس منكرا أو عورة وإن أصرت شرقيتنا المتغطرسة على جعله كذلك.. أنا مفتونة بقصيدة النثر وفتنت أكثر بعشقها لها... فحديث بثينة عن الشعر وعن الكتابة بشكل عام عذب جميل كغزل جميل ببثينته.... لغة فضفاضة سهلة متمنعة كقصيدة النثر منسابة تهم بمسكها فما تنفك تهرب من بين أناملك تحديا وجسارة . لم أهب النجمة الخامسة لأنني وددت لو أن فاطمة هزمت صقرا بحجابها والتزامها في نهاية الرواية فلو فعلت ذلك لانتصرت عليه بكل المقاييس
",Positive,Negative
"رائع لولا انني شعرت بالممل في بعض الاماكن لكن لديه قدره في اعادتك للقراءه حتى تنهيه
",Positive,Positive
"كتاب رائع به من المعلومات التاريخية ما يصدم القارى. يحاول د/يوسف زيدان ان يثبت تكامل الاديان السماوية و يوضح اسباب الاختلاف اللاهوتى بين الثلاث اديان و بين احزاب الدين الواحد. يوضح علاقة التأثر الدينى والمعتقدات الدينية بالتاريخ والعادات والتقاليد. فى نهاية الكتاب يوضح العلاقة بين الدين والسياسة وبين كلاهما والعنف. كتاب مفيد جدا و احتاج للقراءة الثانية
",Positive,Positive
"جيد جدا. اعجبتني نظافه الغرفه والهدوء والموقع. تعطيل تسجيل دخولي في الاستقبال يعني انت جاي من مشوار بعيد وتبغي ترتاح وتتعطل في الاستقبال
",Positive,Positive
"تعايشت مع القصة بأحساس صادق و تأثرت بكل مرحلة مر بها سواء بحب او بغيرة وشكوك كادت ان تقتله رواية رائعة بكل المقاييس
",Positive,Positive
"اكل نظيف ولذيذ جدا الرز البرياني السادة والدجاج بالزبدة وتشكن تاو لذيذ وخبز نان بس السعودي شامبين مايسوى
",Positive,Negative
"روعة . . لاشئ
",Positive,Positive
"إن الذين يقومون بشأن التربية الإسلامية أغفلوا أهم جانب فيها على الإطلاق.... إن مأساة المسلمين تكمن فى أنهم أهملوا علم الإيمان وطريقه، وهو المقدمة الفطرية لكتاب الله . إن الإيمان لا يورث،. والفطن من المربين يرسل من يتعهد بهم فى تلك الرحلة، ينظرون فيعقلون ويتفكرون، فإذا ما آمنوا بنيت عقيدتهم على ما رسخ في وجدانهم من مبادئ وتجارب، وازدادوا لنعمة العقل تقديرا واستخداما.. هذا الكتاب الأول فى سلسلة الأصول الثلاثة للكاتب الله والرسول والإسلام ، اخترته أيضا ليكون المادة المقروءة الأولى فى رحلتي الخاصة. ليطمئن قلبى . ، جنبا إلى جنب مع عديد من المواد المقروءة والمسموعة والمرئية.. ساعدني هذا الكتاب فى رسم معالم رحلتى، ووضع إطارها المعرفي الأولي، مكتفيا ببعض ما أفرد فى شرحه وتفصيله فى بعض الأبواب، وباحثا عما أجمل في سرده من أبواب أخرى. كما ساعدتنى قراءتي لأجزاء من الكتاب أكثر من مرة تحديد ما يستلزم منى بحثا أكبر ودراسة فى رجلتى الخاصة.. الكتاب فى مجمله تجميع وتأليف لما كتبه السابقون، يجمع الكاتب أجزاءه ويعلق عليها فى تسلسل بدأ ب. تحديد طريق العقل إلى معرفة الذات الإلهية. ثم بعرض مجموعة من الظواهر الكونية الكبرى الدالة على الله. ثم دلالة هذه الظواهر على أسماء الله وصفاته وربط ما وصل إليه العقل بما وردنا بالنقل.. ثم مقارنة العقيدة الإسلامية بغيرها من عقائد الأديان واتجاهات الفلاسفة .. فكان الكتاب كأنه خلاصة لبحث صاحبه فى هذا الجانب ومقتطفات مما توصل إليه فى رحلة بحثه هو.. أظنها بداية موفقة ودسمة لرحلة أخري تبدأ من هنا. ليطمئن قلبى . ... فالله المستعان :
",Positive,Positive
"فندق ممتاز . قربه من الحرمعرضوا علي مغادرة متاخرة حتى الخامسة عصرا. عدم وجود لوحات ارشادية للوصول اليه .تكلفة ايقاف السيارة عالية جدا ريال لليلة
",Positive,Positive
"اعجبني الفندق جدا و سعره رائع . اعجبني سعر الفندق مقابل الخدمه.
",Positive,Positive
"فندق مريح . كل شي. لايوجد
",Positive,Negative
"ممتاز. كل شيء. لا مكان مخصص للعوائل وقت الافطار لكن بأمكانك اخذ الفطور للغرفة
",Positive,Positive
"الكتاب جميل جدا، إسلوب سلمان العودة فيها هادئة و لطيفة و محفزة . حاول العودة الإبحار بنا داخل ذواتنا من خلال محتوى الكتاب، تحدث عن الأنا و عن رغباتها و ضعفها و قوتها، و تحدث عن الحب والعمل والخيال والإدمان و الخجل والخوف .. الخ . شعرت أن العودة كتب هذا الكتاب لهدف جميل ك جمال نفسه، و هو صناعة حياوات سعيدة بقدر الإمكان لكل من يقرأه، مع إصراره المختبيء بين الأسطر لهذه الرغبة . :
",Positive,Positive
"عجمان . الساونه والجاكوزي وحمام البخار. قفل الشاطئ في ألليل وقفل المطعم
",Positive,Positive
"حاجات كتيرة ممكن تتقال من الكتاب ده من أول العنوان والحدوتة اللي وراه وبعدين المقارنات البسيطة في الأسلوب بس عميقة المعني والأمثلة اللي بيمتاز بيها د.خالد أبوشادي الأمثلة اللي بتجيب من الآخر يعني الأمثلة اللي بتحس إنها ب توصف اللي ب اعمله واخطائي وأفكاري... .
",Positive,Negative
"اكل بحري لذيذ زرنا المطعم على الغداء و كان الاكل ممتاز و الجلسه بسيطه و مريحه ، بالتأكيد سأزور المطعم مره أخرى إن شاءالله
",Positive,Positive
"انا قعدت كتير عشان اعرف اكتب كومنت، واعرف اعدي حالة السواد و الواقعية اللي دخلتها من ساعة ما بدأتها بتفاصيلها الكتير وانا مقتنعة انهم هيرجعو الغابة و الامبراطور هينجح و النخاس هيرجع بيته، مع ان كل خطوة كانت بتغير من ملامح كل الشخصيات و بتبعدهم اميال كبيرة عن نفسهم الأولى، و عارفة كمان ان الاحلام و الحب مش كفاية ابدا عشان تقاوم السواد و الظلم و الموت و القتل. عمل رائع من الناحية الأدبية، تقريبا، محمد المنسي قنديل من اعظم الكتاب اللي بيقدرو يصيغو احداث تاريخية في شكل ادبي ممتع وقوي و مؤثر مرورا بكل اللي قريته ليه باستثناء انا عشقت
",Positive,Positive
"رائعة بحق تروي تاريخ ما يقارب سبعين سنة عاشتها الصين من خلال حياة ثلاث نساء لا أعلم ماذا اقول؟ تعرفت أكثر على الشيوعية والثورة الثقافية .. أنصح بقرائتها .. وبششدة
",Positive,Negative
"هذا الكتاب من أوائل الكتب التي قرأتها ، كتاب جميل جدا ، و أسلوب الكاتب رائع و راقي ، مقدمة الكتاب هي الأقرب الى قلبي الكتاب يتحدث عن شخصيات استحقت ان تكون رجال حول الرسول دروس في القيم و الاخلاق الاسلامية الحية تتجلى في أعظم الشخصيات يستسقون من أعظم الرجال محمد صلى الله عليه و سلم.
",Positive,Positive
"للحب أصابع خمس ... خمسة أوتار في يدي ... هو مولدك الأول أيتها الغاليه ... تملؤني الدهشه كلما قرأت لي نصا او تذكرت كيف تؤجلين الأفراح لألق اللقاء ... كلما اتذكر كم أنت تدهشيني يملأ قلبي فرح كنت أؤجله ليلتقي بأصابعك ... الف مبروك يا صغيرتي ، صديقتي ، يا زوجتي ..
",Positive,Positive
"جيد . بشاشه موظفين الريسبشن، السرير مريح. الواي فاي ضعيف
",Positive,Positive
"يستر العاهرة ويعري كل الرجال..
",Positive,Positive
"من أروع ما قرأت ... لدي الكاتبة قدرة رائعة علي سرد الأحداث بطريقة شيقة ومميزة وأيضا قدرة رائعة علي وصف الشخصيات مما يجعلك تعيش الأحداث وتتصورها كأنك تعيشها بنفسك
",Positive,Positive
"زمن الخيول البيضاء. من اجمل الكتب اللى قرأتها و هقرأها فى حياتى. بعشق الروايات اللى احداثها متتاليه اللى فيها الجد و العائله والاسره والابناء والاحفاد ما بالك بقى بروايه اشخاصها وشخصياتها عن فلسطين عن البلد المغتصبه وعن المقاومه. ما بالك بقى ببدايتها ووصفهم للخيول اللى هى اجمل وارقى حيوان من وجهه نظرى ازاى بياعملوهم كدا ازاى هى زى بنتهم ازاى بيجوزوها زيهم ازاى محافظتهم عليها كدا. انا عاوزه الحمامه او الشهباء او الحمراء او اوا او انا حسيت انى زى بترسون فى عشقه للاحصنه. الجزء الاخير المؤلم بنهايه الروايه المؤلمه والمؤلمه فيها ان لحد الان الوضع يحزن. القريه اللى حسيت ان انا اتولدت واتربيت و موت مع كل شخص منها بيتى هو بيتهم ووسطهم بيتحرق قدامى نهايه مؤلمه بقدر الالم اللى بيعانوه اهلها. انها الحياه هل يمكنك ان تعطينى نهايه بلا نهايه ؟ نهايه هى البدايه ؟بدايه نهايتها بدايه ؟. رائعه
",Positive,Positive
"جيد. ابتسامة الاشخاص عند الدخول والخروج من بوابة الفندق. الحمام لايطابق للعادات الاسلامية
",Positive,Positive
"منتجع عظيم، بطعام متوسط المستوى لقد عدت للتو من إقامتي التي استمرت لخمسة أيام في فندق جراند روتانا شرم الشيخ. المنتجع لطيف، هاديء، مسالم و دافيء؛ ممتاز للعائلات و الأزواج. بمسبح عملاق، و مسبح مدفأ للأطفال، و زلاجة مائية لطيفة و مسبح جاكوزي في الهواء الطلق بإطلالة على البحر. غرفتي الفاخرة ذات الإطلالة على البحر كانت رائعة للغاية، و المدبرين المنزليين و موظفين مكتب الإستقبال بالخصوص كانوا طيبين للغاية. مشكلتي العظمى الوحيدة كانت بخصوص جودة الطعام و الخدمة في المطعم الرئيسي رمسيس . الطعام لا يعكس أبدا جودة هذا الفندق. كان أقل من المتوسط، بدون تشكيلات فاخرة و بخدمة رديئة للغاية. كانت باقتي تتضمن الفراش و الإفطار، و أنا أتحدث عن الإفطار بشكل أساسي هنا. على أي حال، لقد جربت الطعام في هذا المطعم في العشاء، و قد كان سيئا للغاية. و بأي حال، الطعام الإيطالي في مطعم ميزالونا كان جيدا. مشكلتي الصغرى الأخرى كانت قنوات التلفاز. بالرغم من أنهم يملكون تشكيلة واسعة بشكل مقبول من القنوات، و لكنني حاولت إضافة قناتين إم بي سي إم بي سي أكشن اللتان تعتبران أساسيتان في الشرق الأوسط، لكن لم أتمكن. أخبروني أن قائمة القنوات ثابته و لا يمكن تغييرها. مشكلة أخرى صغرى، حافلة الإنتقال التي تزور خليج نعمة ثلاث مرات في اليوم مجانا، و الذي كان شيئا رائعا الأوقات ليست مرنة. صباحا، الرابعة مساءأ ثم مساءا ينبغي أن يكون هناك على الأقل حافلة في السادسة، السابعة أو الثامنة مساءا لخليج نعمة، في رأيي عموما، المنتجع وجهة رائعة للساعيين للإسترخاء. ينبغي أن تجربه في وقت ما.
",Positive,Negative
"لقد شكلت هذه الرواية نقلة نوعية في تفكيري وبقدر جمالها وعظمتها جعلتني نهابتها على قدر كبير من البؤس والحزن... إن دوستويفسكي عظيم يعرف يوصل ما يريده إلى قلب قارئه لا وبل ينخر بكلماته صدره حتى يصل إلى قلبه.
",Positive,Positive
"بدايه متشعبه ل نهاية بدايه كما اسماها الكاتب تتلاحم بحبكة عبقرية تشكل رأس الهرم . عشت الأحداث وكأنها فيلم وكل اللي بالي حاليا متى اشتري الجزء الثاني عشان اكمل احداث الروايه لأنها رائعه
",Positive,Positive
"اقامه ممتعه خاصه للعوائل... . رحابه المكان.
",Positive,Positive
"روايه مبهرة رائعه وتأخذ النفس ....مع تفاصيلها وأحداثها الكثيرة والمتداخله الا انها في قمة التشويق
",Positive,Positive
"الخيال لا حدود له فأذهب بلخيال الى ما لا تعرف له حدود
",Positive,Negative
"جيد. الخدمات. التنظيف يومي. مسبح. الجيم كويس. مواقف. جنب بقاله تفتح ساعه. النت خيااال وسرييع. سعر السرير الاضافي ب لليوم. النظافه ماتحسها
",Positive,Positive
"كنتم الاجمل في رحلتي . كل شي رائع والاستجابه من طاقم الفندق مميزه .. بصراحه وجدت في الفندق مالم اجده في الخمس نجوم .. واشكر الاستاذ الرائع حاتم على رائع تعامله هو جميع طاقم العمل ... بصدق لاشي
",Positive,Positive
"أدب ساخر موجع واقعي... الماغوط يعلمك كيف تضحك حتى الألم وتتألم حتى الضحك
",Positive,Positive
"جيد. سعره مناسب جدا ... لا يوجد اي من سوبر ماركت او بقالة قريبه منه ..
",Positive,Positive
"تستحق العالمية... تأخذك إلي عالم داوم الناس علي ذكره لكن لم تراه... ومع هذه الرواية تراه...
",Positive,Positive
"بجد روايه توجع القلب
",Positive,Positive
"استثنائي. المكان والموقع والخدمه والنظافه. اللوبي صغير
",Positive,Positive
"أجمل إقامة . جميع الخدمات ممتازهواتمنى تطوير اكثر للبي الفندق. لا يوجد
",Positive,Positive
"الاقامة ممتعة خدمة المكاتب الامامية ممتازة وسريعة وحسن استقبال ولديهم اهتمام لدى النزيل جيد جدا والمنظر العام من الغرف ممتع من جهة واحدة خدمة المطعم ممتازة ومذاق المأكولات ممتازة نظافة الغرف ممتازة والرائحة جميلة اتقدم بالشكر لرجل الاسعافات الاولية بالفندق لديكم خدمة الغرف ممتازة فىتوصيل الطلبات للغرفة
",Positive,Positive
"عطله سعيدة بدبي . ممتاز بصفه عامه وخدمه ممتازه. لايوجد بالغرف عند الوصل اي ترحيب من فواكه وبعض المشروبات ولايوجد ارسال صحف يوميه للغرف في الصباح واتصلت لم يستجب احد
",Positive,Positive
"الكتاب عمل فني أكثر مما هو أدبي حيث تمكن الكاتب من سرد أحادث المشاوير والتاكسي بأسلوب يعكس واقع الحياة في بيئته ومجتمعه الذي هو واقع مجتمعات اخرى
",Positive,Positive
"أنه نزار، جمع بين الياسمين الدمشقي والمرأة والوطن... ولست أدري أيهما أحب إلى قلبي شعره الغزلي أم السياسي.. بقليل من التدقيق تجد أنه عامل المرأة كأنها وطن، وعامل الوطن كأنه إمرأة.. وكان لذلك دائما شاعر الغزل السياسي والممنوع أحيانا .. وبالمناسبة هو أحد أصدقائي الثلاثة من طرف واحد
",Positive,Positive
"رواية شدتني وخلصتها في ساعات مزهقتش وأنا بقراها على الرغم من إن أحداثها هادية لكن تجذبك جدا بس هي رواية حزينة في المجمل. بتكتشف ربط الشخصيات ببعض بطريقة جميلة. بس في نقط معينة كنت بحس الكاتب نط منها على اللي بعدها من غير تفسير بس كأول رواية للكاتب برافو. الكلام سلس ومفيهوش أي الفاظ خارجة
",Positive,Positive
"و هناك رؤى كثيرة و كتابات عدة ، تؤكد أن الإسلام يوصى بالنساء خيرا و يصورهن مجازا بالقوارير الرقيقه داعيا الى الترفق بهن ، فهو بالتالى يضعهن تحت وصاية الرجل جاعلا له على المرأة درجة ، بل هو أعلى منها بدرجات فهو الذى فضله الله وهو الذى يرث الضعف أو الكل و هو المكتمل عقلا و دينا و تدينا ومقامه الاعلى ليس دينيويا فحسب و انما له فى الاخره امرأته الدينيوية و له أيضا نساء أخريات : حور عين كأمثال اللؤلؤ المكنون ، لم يلمسهن قبله إنس ولا جان ، كلما افتض بكارتهن عدن عذراوات ، ولا عزاء هنا للسيدات ولا مجال بالتالى لخلافتهن فى الارض عن الله . فلا يعقل أن تمثل الله فى الأرض امرأة مهما كانت مكانتها .. فمكانتها أيا كانت لابد أن تنحط عن مكانة الرجل ، بدرجة على الأقل ، وبأكثر من درجة أحيانا ، وبكل الدرجات فى كثير من الأحيان. إن قولنا من تكريم الاسلام للمرأه لهو الأكذوبة الكبرى التى لا وجود لها ... إن الاسلام كغيره من بقية الأديان التى احتقرت المرأة واعتبرتها وعاء الرجل ومنجبه لأطفاله لا أكثر
",Positive,Positive
"فصل حول خصوصية اللفظ والتشبيه عند عماد أبي صالح . .سأكتبه يوما ما
",Positive,Negative
"القرب من الحرم . قرب الفندق من الحرم. صغر مساحة الغرف
",Positive,Negative
"ممتاز. . طاقم العمل كاكل ممتازلكن عند تسجيل الدخول كان هناك موظف يحتاج مهارات التعامل مع الزوار لان اسلوبه غير جيد
",Positive,Positive
"هذا الكتاب عدو محارب من الكتب التى اثرت فى كثيرا،،،مكون منما يزيد عن اربعمائه صفحه،،،،،كاتبه بريطانى الجنسيه وباكستانى الاصل ،،،يحكى فى هذا الكتاب قصته عندما اعتقلوه فى معتقل غوانتنامو،،،ظلماوبهتانا،،،،،لمساعدته للافغان ايامالحرب وجمع التبرعات لهم للتغلب على الجفاف فى هذا الوقت،،،،لمست فى كلامه الصدق ،،،واعجبنى جدا تصرفه مع ما مر به من احداث شديده،،،،وظبطه للنفس ،،،،وعدم سلبيته فى الاستسلام لوضعه ،،،من المسلمين الذين يفتخر بهم حقا ،،،،يتقن حوالى سبع لغات اجنبيه ،،،،،يتمتع بالكثير الكثير من الثقافات والمعلومات،،،،وقصته اختصارا. انتقل بيغ لأفغانستان مع أسرته في قبل العودة إلى باكستان في العام مع بدء الحرب الأمريكية على أفغانستان.. وقبض عليه في العاصمة الباكستانية اسلام آباد في العام قبل ترحيله إلى غوانتانامو.. وقد أفرج عنه العام ، مع ثلاثة مواطنين بريطانيين، وعاد جميعهم إلى المملكة المتحدة.. كتب قصته وهو فى الثلاثنيات من عمره،،،،،،ولكنى عندما بحثت عنه اكثر علمت انه الان ما يقارب من الخمس واربعين من عمره وانه مازال متهما بالارهاب لمساعده السوريين خلال ازمتهم،،،،،،عجبا لهم ،،،،وعجبا لك يا معظم بيغ
",Positive,Positive
"يحكى. أن عاشقين. في زمن قديم. دفنا في حفرة واحدة.. لنتخيل المشهد:. هيكلان عظميان. ممددان جنبا إلى جنب. كما لو أن التراب سرير من عشب. والدود الذي ينهش اللحم البارد. فراشات تنقل القبلات في رحيقها.. هل قتلا؟. انتحرا معا؟. أم أنهما من ضحايا الكوليرا؟. تجاهل الرواة. عبر العصور. هذه التفاصيل العابرة. لتسطع. في الحكاية. وردة حمراء. نبتت. من التراب الذي احتضن العاشقين في عناق أخير. جذورها عظام أصابعهما. المتشابكة في الموت. كما في الحياة
",Positive,Positive
"ممتاز. كل شي خاصة النظافه.
",Positive,Positive
"يا الله رائع. وددت لو تحدث أكثر
",Positive,Positive
"معرفتي بالفنان نبيل بدأت واحنا في الجامعة اعتقد في سنه / وكان نبيل ساعتها في سنه أولي هندسة مدني ... انا اعرف عنه انه فنان وفنان من الطراز الأول .... محلل .... خفيف الظل ... لماح .... ابن نكته ... مستعد انه يعمل تحليل لحظي لأي شخصيه او لأي موقف في وقت قياسي .... فيه من الصفات الجميلة مالا يمكن وصفه في كلمين ونص زي دول كده .... نبيل عنده من القدرات انه بكلامه ووصفه ممكن يرفعك فوق او يحطك تحت بتوصيفه الدقيق الذكي.. شخصيه بتحمل الصفات اللي فوق دي لا يمكن تنتج شيء زي كتاب أهرام الجمعة ويكون مش علي اعلي مستوي من مستويات الجودة والاتقان.. انا عندي عيب عيوب بمعني ادق وهو أنى مش محب للشعر وماكنتش متخيل أنى امسك كتاب شعر واقرأه بنهم واستمتع وانا بقرأه بهذا الشكل ... بل اقرأ منه مقاطع لزوجتي ... يعني كأنني أستمتع بشيء وعاوز أشارك الناس اللي بحبهم.. انا جربت اقرأ بعض الصفحات بشكل عشوائي ... يعني افتح الكتاب واللي يطلع في ايدي اقرأه ... وده كان بهدف إني الاقي ثغره او حاجه دمها تقيل في الكتاب .... لكن فشلت.... فشلت إني الاقي سطر واحد بطعم غير مستساغ ... الكتاب كله مش ممتاز ... لا ده أكثر من رائع والأهم من ده كله انه لكل الفئات العمرية بس المهم يكون مصري او محب لمصر و جو مصر.. الجانب السلبي الوحيد من وجهه نظري المتواضعة هو في شكل سؤال هل الأخوة العرب غير المصريين ممكن يفهموا لهجتنا العامية؟ .... لو الإجابة بالنفي يبقي للأسف تحليلي صح وبكده هما مش هيستمتعوا بالكتاب زي ما انا استمتعت بيه وبالتالي عليهم انهم يتعلموا لهجتنا او ان اخويا نبيل يأخذ ده في الاعتبار في الاعمال القادمة ان شاء الله..... نبيل ..... بالتوفيق .... ربنا يوفقك ويكرمك على جميع المستويات الاجتماعية والعملية والشخصية والأسرية و و .... أخوك الكبير / عبد الجواد مندي او كما يحلو لك عبجواد
",Positive,Negative
"أربع محاورات إختص بهم أفلاطون سقراط ، المحاورات في مجملها رائعة تستثير العقل وتحثه على التفكير والبحث والتساؤل ، المحاورات جميعها تبدأ بمقدمات على لسان سقراط وتنتهي بنتائج إما سلبية لنقد أحد المفاهيم الخاطئة من وجهة نظر سقراط لا سيما أفلاطون أو ايجابية لتدعيم فكرة يؤمنون بها.. لم يعجبني في المقدمات ذلك التسليم المتكرر كثيرا في ردود من يحاورهم سقراط والتي تظهر في تكرار مجموعة من الالفاظ من أمثلة نعم إنه صحيح ، أحسبك مصيبا يا سقراط ، ليس في ذلك خلاف ، لا ريب ، يقينا ، لا شك في ذلك ، جد صحيح ، نعم هذا ما قد أتصوره وغيرها من الالفاظ التي تدل على التسليم الكامل للمقدمات التي يطرحها سقراط وفي مخيلتي إن كان هناك شىء من الأعتراض على هذه المقدمات بآراء منطقية كما هو اسلوب سقراط كان من الممكن أن تكون نتاج المحاورات أكثر ثراءا ، بإستثناء بعض الردود من سمياس وسيبيس في محاورة فيدون فكانت لديهم بعض الاعتراضات التي اسهمت في اثراء تلك المحاورة كثيرا.. هناك أيضا المقدمات التي سردها المترجم ذكي نجيب محمود لكل محاورة على حدى أعتقد أنه من الأفضل أن تكون تعقيبات لاحقة لكل محاورة حتى لا يضيع على القارىء متعة المحاورات نفسها.. محاورة أوطيفرون معظم نتائجها سلبية لنقد أفكار معينة عن التقوى وكنت أفضل وجود نتيجة ايجابية لتعريف التقوى في نظر سقراط وافلاطون.. محاورة الدفاع أفضل تسميتها بالمرافعة وليست المحاورة لأن سقراط اسهب فيها الحديث مدافعا عن نفسه فلم يكن هناك حوار الا في أضيق الحدود.. محاورة أقريطون أعجبتني واختلفت معها في جانب واحد فقط هو حينما تخيل القوانين وهي تلومه إذ هو أقدم على الهروب من حكم الاعدام في حوار افتراضي وفيه اتهمته القوانين بالخيانة لأنه ارتضى بهم وقبلهم حتى اذا حكم عليه بعد ذلك يهرب من حكمهم ، وجوهر اختلافي هنا انه لا يهرب منهم ولا من حكمهم ولكنه ان كان قد قبل بالهرب فهو يهرب من ظلم مطبقى القوانين وليس منهم فكم من قوانين صالحة ولكنها تفسد من سوء استغلال مطبقيها فإن آثر سقراط الهرب حينها لم يكن به من خيانة القوانين في شىء وهذا رأيى. المحاورة الاخيرة وهي محاورة فيدون هي أحب وأقرب المحاورات الى نفسي وأكثرهم متعة ، فلقد أبدع فيها أفلاطون على لسان سقراط في إثبات خلود الروح ، كما أعجبني كثيرا فكرة تعاقب الارواح على الأجساد ومفاداها أن الروح بعد الموت تنتظر في العالم الادني حتى يؤذن لها ان تتعاقب على جسد جديد وبذلك فالروح الواحدة تتعاقب على اجساد عده في أزمنة عدة وأن فكرة التعلم والمعرفة في حقيقتها ما هي إلا تذكر لما قد حصلته الروح في دنياها الاولى وفي العالم الادني ، هي فكرة ملهمة حقا جعلتني أتسائل عن ماهية الروح التي تسكني ياترى من كانت في الماضي ، وجعلتني أيضا اتخيل ان الارواح هي عدد محدود جدا فقط تتعاقب وتتجدد في الاجساد في دورة لامتناهية ، وأثارت أيضا المحاورة فكرة تعاقب الاضداد التي يؤمن بها افلاطون كثيرا. في النهاية الكتاب دسم ويستحق القراءة مرة أخرى
",Positive,Positive
"ذات مره اتانى صوتك من بعيد . كنت سائحه غريبه فى بلد غريب . حاولت ان اراك كما أردتك ان تكون . وكانت سماء حيفا ماطره .. ولم اكن هناك . فحسدتك
",Positive,Positive
"كتاب صغير في الحجم لكنه قيم بما يحويه :
",Positive,Negative
"واحدة من أجمل الروايات التاريخية التي قرأتها في حياتي ولا أعرف كيف لم أقرأها منذ فترة طويلة فمنيف يكتب بإسهاب رائع وباذخ الجمال وله قدرة عجيبة جدا على التحكم بعدد كبير جدا من الشخصيات.. تصف الرواية حال سكان شبه الجزيرة العربية قبل اكتشاف النفط إلى مراحل بدء التنقيب عن النفط واختلاط البدو بالأمريكان بل والعمل لديهم في الشركة التي أظن أنها شركة أرامكو.. أظن أن عملا رائعا مثل مدن الملح يجب أن يدرس في المدارس، لا أن يمنع وأن يتحول لسيناريو يقدمه مخرج مبدع، فالمادة المكتوبة من السهل أن تتحول لعمل تلفزيوني ضخم وكبير يستمر لعدد كبير من الحلقات.. لدي ملحوظة وحيدة أثارت استغرابي خلال قراءتي هي حينما ظن البدو أن الرياضة التي يقوم بها الأمريكان عبارة عن صلاة استغربت جدا أن يظن بشر على وجه الخليقة الرياضة صلاة؟ خصوصا أن سكان شبة الجزيرة العربية والذين يفترض أنهم مسلمون على دراية بالأحاديث الشريفة أو بأقوال الصحابة؛ ألم يحث الإسلام على الرياضة؟. باختصار: هكذا يسرد التاريخ في رواية.. :// . . / /
",Positive,Positive
