Senti score,Senti words,Original Tag,Original text 
Negative,thin thread boldness insolence literature thread author unfortunately realize,Negative,"There is a thin thread between boldness and insolence in literature .. It is a thread that the author unfortunately did not realize
"
Positive,tried complete abnormal absurdity mind bear,Negative,"I tried to complete my abnormal absurdity, my mind could not bear.
"
Positive,modest bit good poor furniture old outdated,Negative,"Acceptable . The hotel is modest, and a bit good. Cleanliness is poor, furniture is old and outdated
"
Positive,nice book light cute loved,Negative,"A nice book, light and cute ... Suddenly, I discovered that Chloe loved only me
"
Positive,live nothing everything,Negative,"It is forbidden to live in it. nothing. everything
"
Positive,loss style poetry good poetic say discuss obscene bold incompatible religion careful freedom freedom expression support sick unacceptable give means treatment salvation writing writing well sorry complete lend defect,Negative,"Bad .. a loss in which the style of poetry and good poetic analogies .... do not say discuss an issue..what issue is discussed..with all those obscene details and bold description..why ?? When all this .. If the issue is incompatible with religion, then morals, then the values of society..beware, be careful, and be disciplined..this is not freedom. ..And not the freedom of expression .. you support a sick and unacceptable behavior..and give them the means of treatment and salvation by writing your writing as well instead of all of this ... sorry I did not complete it and I will not lend it to anyone..the defect ..
"
Positive,think reconsider novel lot reputation good necrophilia mature bold novel relatively large number necrophilia result opposite global conspiracy put last word write add new author heroine rhythm slow move late boredom push complete without stealing pushing event version first really good narrative talent hope patient work need rush idea offer delay help benefit reader time return plot everyone first novel hope provoke literary new away psychological horror limit branch disappointed,Negative,"I think that Sherine Hinai will have to reconsider this novel a lot again. When I fell in my hands and Sherine&#39;s reputation, I had a good necrophilia, expected by a more mature and bold novel, with a relatively large number of pages that exceeds necrophilia. The result was just the opposite. Truthfully I never enjoyed it ... satiated by the theories of the global conspiracy in which Dan Brown put the last word and anyone who tries to write in it again will never add new and it has been. The author herself indicated among the events that she resembles the events of Dan Brown&#39;s novels by the heroine. The rhythm is very slow, and the events do not move until late after the boredom has possessed me, so I push myself to complete it without stealing my eyes and pushing me to devour the event as its previous version. Sherine advised me. The first: You have a really good narrative talent so I hope you will be very patient before any work and there is no need to rush and come up with an idea that does not offer, does not delay, does not help you, and does not benefit me as a reader. Take your time until you return to a topic and plot that only you can do ... just like everyone shocked you in the first novel. Second: I hope to provoke your literary abilities in something new, away from psychological horror. Do not limit yourself to only one branch. Sorry if I had disappointed you ...
"
Positive,call essay anecdotal collection author book reader idea book funny type book transport book distinction sense read transportation useful alternative add new knowing point view meaning read author hour hour ended,Negative,"I call it essay collections, just like anecdotal collections, where a collection of the articles of an author is collected in a book called one of these articles, and it is presented to the reader, whether it is combined by one idea or one topic or not, such as Idris Poverty for Idris, and this book. The funny thing is that this type of book is a transport book with distinction in the sense that it can be read in transportation, as it is a more useful alternative to newspapers: it also does not add anything new to you than knowing the author&#39;s point of view on this or that issue, meaning that you read to the author and not the topic in other words. An hour with Youssef Idris, an hour with Mustafa Mahmoud. And it ended:
"
Positive,visualization underworld adult world cinematic plot useful,Negative,"In the visualization of the underworld of the adult world, with a cinematic plot ... Ahmad Murad&#39;s writings are useful for cinematography
"
Positive,read sleep,Negative,"I would like to read to Khalil Gibran if I cannot sleep
"
Positive,blood light unfortunately worth whole deny reality nice irony whole protector thief beautiful,Negative,"Nice and her blood is light, but unfortunately it is not worth exaggerating this whole But that does not deny that it is advancing the reality of post-revolution in a nice irony. The whole concept is centered on its protector, the thief, but it is very beautiful
"
Positive,much hate get wide fame need novel jump page feel defect kind hard,Negative,"How much I hate novels that get wide fame for and there is no need for a novel where you can jump a page and do not feel any defect of any kind. Oh repeating hard
"
Negative,weak stand deal reception good worst tower tower number work receive,Negative,"Very weak. None. There are parking spaces for the hotel that guests are not allowed to stand in. The Egyptians deal in the reception is not good Allocating the worst tower in the hotel to the guests of Boking, the tower is the number of cleaners who do their work only with Bakhshish and they do not receive salaries
"
Positive,first cinema story pace place work differ main director movie station present woman small town husband harsh treatment attempt start remains hidden husband search return fist hand nothing new movie submit look romantic part film love story going beyond movie natural movie romantic drama basic line complete surprising see dramatic film totally irrational ability escape addition constant contact neighbor without telling husband knife psychological problem story suffering death mother closer family author refer relative distant father cause death mother example treated badly addition first know sequence predict look nature place film portrayed let evaluation film promise actor character distinguished extraordinary calm appropriate character looking romantic movie watch week advise away film achieve text expect,Negative,"Prediction from the first Hollywood, Bollywood, Egyptian cinema, Naama Bay and there may be more for the same story and at the same pace ... the place and the heroes of the work may differ but the main theme is the same, and director Las Hallstrom completes with his movie parked at the same station to present a woman called Katie Julian Hoge which She arrives in a small town after escaping from her husband and his harsh treatment of her, in an attempt to start again and remains hidden while her husband tries to search for her and return her to the fist of his hand ... and thus there is nothing new in the movie; Sparks and submit it. And if we look at the romantic part of the film, especially the love story that brought Katie and Alex not going beyond the events of the movie, which was natural and supposed to be the movie is classified under romantic drama and it is the basic line on which events are based, and to complete the surprising moments, you will see the dramatic plots of the film that are totally irrational; starting from Katie&#39;s ability to escape, in addition to her constant contact with her neighbor who helped her without that ever telling her what happened to her husband after his stabbing the knife, also involving the psychological problem of Ibn Alex in the story and his suffering from the death of his mother and not exploiting that in bringing Katie to him and thus bringing her closer to The Alex family, and the author did not refer from a relative or a distant son to his father Alex, so did he cause the death of his mother, for example? Or was he treated badly? ... and in addition to all this, you are one of the first scenes that you will know the sequence of events and predict the end, what will it look like? It can be the nature of the place in which the film was portrayed was one of the goodnesses that are mentioned, and let the evaluation of the film promise, among other things, that the actor Josh Duhamel performed and presented him to the character of Alex and distinguished him with an extraordinary calm that may be appropriate for the character itself. If you are looking for a romantic movie to watch it at the end of the week, I advise you that you are away from the film, as it will not achieve the text that you expect.
"
Negative,weak side enter bribe enter,Negative,"Very weak. Albek his side. You are not allowed to enter before 2 pm, and the Egyptian wants to bribe you to enter before
"
Negative,disappointing size problem campus children direct road campus,Negative,"disappointing. Room size. There is a problem in reaching the campus if you have children and adults in Senna. There is no direct road to the campus
"
Positive,evaluation economics loved entrance economy book add new influential drop glass water quick overview economy explanation economic development supply demand sum total output difference recommend reading introduction economy,Negative,"Confused in his evaluation. For me, if I hadn&#39;t been to my studies in economics. I would have enjoyed and loved it as an entrance to the economy. But for me, the book did not add anything new that was as influential as a drop in a glass of water. Setting a quick overview of the economy through an explanation of economic development. From the commercials, through the naturalists or the fiefs, to the capitalists. Explanation of supply and demand is the sum of the total output of the difference between the macro and micro economies. I recommend reading it to anyone who wants an introduction to the economy. :
"
Positive,receptionist treated classy place nearby shopping poor hygiene elevator long,Negative,"Weak. The receptionist treated the classy place nearby for shopping. The poor hygiene is one elevator which makes the waiting long and sometimes not working.
"
Negative,tired expensive without luxury bad shower bad car bed without,Negative,"Very tired, very expensive, without luxury. Old and bad shower, towels smelled bad. car parking. The bed is without mattresses
"
Positive,need buy book accidentally saw library novel best evidence phenomenon terrorism throw new idea old repetitive boring unfair idea saw hyperbole moderation clear clear reading feel read biography writer point view book certainly attempt make see point view correct believe convince party idea see book evidence correctness distracted liked plot novel bit trying distort religious current force admit hard finish book reach chapter talk love little,Negative,"Why do I need to buy the book when I accidentally saw it in the library, Dr. Ghazi Al-Qusaibi commented on the novel as it is the best evidence that leads to the depths of the phenomenon of terrorism. I expected to throw a new idea other than the old, repetitive, boring, and unfair idea. Zahi, who moved from extremism to extremism that Abdullah saw, has moved from hyperbole to moderation. It is clear and clear that Zahi is originally Abdullah Thabet since I started reading, and I feel that I read Abdullah Thabet’s biography, which he wrote by himself .. Each writer has a point of view and the book will certainly be the writer&#39;s attempt to make us see that his point of view is more correct. I believe that Abdullah Thabet did not convince the other party of his idea of whoever supported his words, so he will see that the book is evidence of the correctness of his saying and he is distracted by it. I never liked the plot in the novel and felt a bit underestimated in some situations. Why was he trying to distort the religious current with all this force? I admit that I resisted so hard to finish the book to reach an area between me and him, perhaps in the chapter of his talk about love we met even a little.
"
Positive,reading really boring colloquial dialect eloquence writing somewhat stubborn,Negative,"Rate it. Some of the pages I was reading while I was enjoying and some of them were really boring, but the thing that I did not like about the colloquial dialect of the eloquence made his writing somewhat stubborn.
"
Positive,book change gift title reading first reading book mention similar amnesia hero opening book heart reassured narration word bit exaggerated two title cover,Negative,"The book must change its name to the gift to Islam after being attracted to the title and after reading the first pages I found me reading a book about Islam not to mention similar events with other narratives such as amnesia and like the hero opening the book of God randomly to any until her heart reassured the events likened the narration of the word of God. A bit exaggerated. The two stars for the title and cover only:
"
Positive,much deepening meaning love meaning suit much finished except conclusion without refuge voucher book quotation back terrible live others feel alone throw chest speech shake branch anger pay attention suffer bitterness autumn send message writer many think thousand publish book,Negative,"I did not like much about the writer&#39;s deepening of one meaning: love .. it was not balanced in meaning .. so it did not suit me very much. I finished it in four days. And I did not come out except in conclusion words without refuge. I felt for a while that this voucher never belonged to the book:. quotation:. The ugliest hearts that lent us. Then back to the owners,. And the most terrible moments that we live. With others and feel alone. . When someone tries to throw your chest with speech shells. To shake the branch of your anger, do not pay any attention to it. Trees do not suffer the bitterness of autumn. Thoughts send a message to the writer, and like him there are many, they think a thousand times before they publish a book:
"
Positive,short fluent involvement incomprehensible flight many saw good,Negative,"In short, Aziz ... is someone who is fluent in involvement and professes an incomprehensible flight like many of us, and Joman saw that it was not good.
"
Positive,disappointing elevated location,Negative,"disappointing. . The hotel is in an elevated location, with tables indicated in the bokings.
"
Positive,read book several ago time fond reading battle think finished stage conviction many talk depend acceptable writer demonstrate prophetic weak correct difficult conform idea writer historical closer reality reality book writer great effort guy conclusion deserve study book two effort star new,Negative,"I read the book several years ago at a time when I was fond of reading about Gog and Magog and the battle of Armageddon and the signs of the Day of Resurrection, but now I think I have finished that stage after I came to a conviction that many books that talk about these issues do not depend on acceptable sources but are convictions and presuppositions The writer has it and then begins to demonstrate it either with prophetic sayings, most of which are weak and the correct ones are difficult to conform to the idea promoted by the writer or evidenced by historical narratives that are closer to myths than to reality and reality .. As for what this book concerns, the writer made a great effort but I Personally guy R was convinced of his conclusion, although there were some things mentioned that deserve more study, such as backfilling in China .. Generally I evaluated the book with two stars for the effort made and another star because it opened new horizons for me with his trips in China and the Maldives.
"
Positive,repeat experience liked site bathroom small personal comfort connected feel comfortable,Negative,"I will not repeat the experience. What I liked most is the site only .. The bathroom is very small, there is no personal comfort because the apartments are connected to each other through the doors of all the sounds heard. I did not feel comfortable
"
Positive,reading translation poor reading liked biography priest,Negative,"Tired of reading. The translation is poor, which is why I stopped reading it. But I liked the biography of the priest.
"
Positive,try enter proximity system,Negative,"I will not try to enter it again. Its proximity to the Prophet&#39;s Mosque. No system
"
Positive,novel properly book stone patience theatrical clip novel theatrical clip telephone conversation woman dialogue voice third standing behind course rise fall energize much boredom boredom,Negative,"This novel reminds me, if properly called, a book of the stone of patience by Atiq Rahimi. This is a theatrical clip, not a novel. A theatrical clip based on a telephone conversation between a man and a woman; the dialogue permeates the voice of a third man, who appears to be standing behind the shadows, explaining the course of affairs between the interlocutors. Dialogs rise and fall, fade and energize, in which there is not much boredom and boredom
"
Positive,simple book world blind best book talking inventor fact disappointed title much larger content book good information astray new idea split book strong know blind choir,Negative,"A very simple book. He talks about the world of the blind and. About some of the creators of them. The best of the book. He is only talking about the inventor Muhannad Abu Dayyeh. In fact, I was disappointed. The title is much larger than the content of the book. I benefited from some good information. But he went astray and did not come up with any new idea. We split the book copies of other books. There were no strong ideas. I don’t know why we are the blind choir yet.
"
Positive,principle first time work review novel fan different author novel consider novel bad long benefit imagination happy happy novel particular course experienced saw novel hard spawn order dying slowly unusual unexpected amount writer stronger reader writer novel repentant course cover masterpiece deadly heat enter novel running ten life page share work describing depth philosophy death death love stronger death prove unique sentence word length novel frankly consent satisfied reason novel around philosophy death frankly philosophy already thinking philosophy invitation thought day wanted wanted pill encouragement prove friend hard encourage together life without honor writer reconsider,Negative,"In the name of of Allah the Merciful. In principle, I am the first time to work a review on a novel, even though I am a fan of novels, and with different expressions for each author in each novel, I do not consider any novel as bad as long as I came up with a benefit or an imagination that made me happy and happy. But this novel, in particular, I was waiting for it on the hottest of embers, after of course what Heba experienced and saw its masses. But this novel was so hard that I used to spawn in the days in order to be saved, I felt that you were dying slowly. There is an unusual and unexpected amount of that from the writer. Frankly, I expected it to be stronger than that. But I, as a reader, felt that the writer of the novel de Gap was repentant and misled me with it. Of course, the cover is a masterpiece, especially in the deadly heat that we have in it. We enter, remained on the topic of the novel, and Hussein Aref, who is running on ten reasons for life, and made a page on Elvis to share his adventures and work by describing our depth and the philosophy of death and death is the only victor ... and if love is stronger than death, prove ... unique sentence Minyaawi times word Prove de. She is the one who kept it the length of the novel, and it proves .. And, frankly, with his consent, I was not satisfied with a reason. The novel revolves around the philosophy of death, and frankly, philosophy de Makhlenich is already thinking. And what is supposed is philosophy is an invitation to thought. Negi stayed for one day, she wanted to die herself and wanted, but a pill of encouragement ... She said to Hassan, who wants to prove her that he is a friend of hard and went to Hussein to encourage her to die together ... Azaa escapes her life from her traitorous, traitorous, without honor ... And the writer must reconsider
"
Negative,first stop account village corruption misuse civil religious rampant many mayor priest doctor others large number confused,Negative,"My first stop with Marquez was with this account, which talks about the village where corruption and misuse of civil and religious authorities are rampant, reviewing the stories of many personalities, such as the mayor, priest, doctor, and others .. The large number of characters and names confused me to events.
"
Positive,novel loved much lot magnificence read make sure true require much time page style writer beautiful novel wonderful many claim title enough sum stupidity love novel clumsy away humiliation humiliation affixed love decided read book love title,Negative,"A novel I loved you too much. I heard a lot about her and her magnificence, so I read it to make sure that it is true ... Reading it does not require much time, even though it contains more than a page ... The style of the writer is beautiful .. It has similarities and paragraphs of his masterpieces .. But the novel did not like me and is not as wonderful as many claim ... The title was enough to sum up all this stupidity in the name of love found in the novel ... It seems that all clumsy behaviors and away from morals, sins, humiliation and humiliation are affixed to love so I decided not to read any book that puts love as a title for him ..
"
Positive,novel trash library,Negative,"This novel has more trash bin than library shelves
"
Negative,monster,Negative,"Oi monster:
"
Positive,beginning reading book first time unsuccessful writing book feeling soon read book good book missing,Negative,"At the beginning of my reading of the book, I felt for the first time that Dr. Mustafa Mahmoud was unsuccessful in writing this book, but this feeling began to fade as soon as I read a book, a good book but something is missing, perhaps.
"
Negative,nothing nothing everything,Negative,"nothing . nothing. everything
"
Positive,furniture new value lack respect person guest,Negative,"Misplaced misplaced. The furniture is new only. Place, value, attitudes, and lack of respect for the person or guest
"
Negative,business trip location cleanliness,Negative,"business trip . . Hotel location and cleanliness
"
Positive,stay gate three clean room,Negative,"I did not like the stay. Breakfast. After him from the women&#39;s gate, three times I also asked to clean the room and nobody came
"
Positive,weak beach clean breakfast service bad filthy safety,Negative,"Very weak. The beach is clean breakfast. The service is bad, the chalet is filthy, and there is no safety for the door.
"
Positive,bad cleanliness good demand urgency,Negative,"Change to bad, why? . . Rooms are not furnished, floors, cleanliness is not good, demand and urgency
"
Positive,pay attention nothing lack prompt response,Negative,"You should pay more attention. nothing. Lack of apartments and lack of a prompt response when servicing
"
Positive,nothing wrong smell smoke receptionist period apartment knowing younger brother,Negative,"There is nothing wrong . Close to the Emirates Mall. And the smell of smoke smelled of the receptionist who the evening period narrowed the apartment, knowing that we are just sisters and my younger brother
"
Negative,think short list idea good treatment creation group inconsistent inconsistent far good novel,Negative,"I do not think it deserves to be on the short list of the Arab Poker Prize. The idea may be good, but the treatment and creation of a group of inconsistent and inconsistent events made it far from being a good novel.
"
Negative,disappointing reception kit account,Negative,"disappointing. . Wi-Fi reception kit on customer&#39;s account
"
Negative,restaurant civilization best varied,Negative,"Applebee&#39;s restaurant applies to it a saying of a civilization that prevailed, then it seemed they were one of the best restaurants and varied dishes.
"
Positive,tried get lost quickly despite freshness culture strange book dialect say book,Negative,"I tried to get lost quickly, despite his freshness. My culture differs from strange terms in the book. Because I am Syrian, and my dialect tends to Shami. I can say that it is a book for Egypt in this era
"
Positive,general atmosphere sad without meaning deep meaning,Negative,"The general atmosphere is sad but without meaning ... Few are expressions of deep meaning
"
Positive,fit human use less half hour left due lack hygiene lack respect paid full amount reservation place mattress bed place clean empty cup coffee sticky coffee residue small hair floor cup employee cup water inside bathroom put place nothing first employee value reservation,Negative,"Hotel not fit for human use. Nothing. I sat for less than half an hour and left the hotel due to lack of hygiene and lack of respect and paid the full amount of the reservation. The place is not adding a mattress, the bed is stained, and the place is not clean until the empty cup of coffee contains sticky coffee residue and I found a small hair on the floor of the cup. When I told the employee, he took the cup and washed it with water inside the bathroom and put it in its place as if nothing had happened. Upon leaving the hotel the first thing the employee discussed was the value of the two-day non-refundable reservation.
"
Positive,book small amount wisdom practice magic reject,Negative,"This book contains a small amount of wisdom, but it is one of the books of Paulo Coelho in which he advocates the practice of magic, which is what I reject in the writings of Paulo
"
Positive,good well,Negative,"not good . well. Services
"
Positive,laugh,Negative,"I had a laugh. What is it?
"
Negative,disappointing room design uncomfortable expensive knowing price much superior,Negative,"disappointing. Enter the Wild Water Canyon. The room design is uncomfortable and expensive, knowing that there are hotels at the same price, but much superior
"
Positive,uncomfortable old furniture private satellite employee change room double bed reservation work room two left first night,Negative,"Very CNN. . The rooms are very uncomfortable and old in furniture and there are no private satellite channels. The employee asked him to change the room with a double bed as I requested during the reservation and did not work on it. I booked the room for two nights and left after the first night
"
Positive,novel boring despite admiration narrative style many boredom writer hatred within novel chapter chapter changed certain integrity first novel read able integrated opinion writer trying read novel,Negative,"For me ..... the novel is very, very boring ..... despite my admiration for the narrative style ... but the events and the projections ... are too many for boredom. This is, however, that the writer hates the Islamists provocatively ... and conveyed his hatred within the chapters of the novel chapter by chapter .. this changed projections on certain personalities characterized by integrity. This is the first novel I read to God, Ibrahim. I will not be able to have an integrated opinion on the writer until after trying to read another novel.
"
Negative,inappropriate fall short,Negative,"Substandard services. . Services are inappropriate and fall short of the hotel name
"
Negative,nothing reservation amount arrival amount reserved insurance without knowledge,Negative,"Tired on all sides. nothing. The reservation amount was deducted before arrival at the hotel and then the same amount was reserved as insurance without my knowledge
"
Positive,really read amount hatred hatred negative energy book challenge hate hardly pain hurt image beloved much book know continuing describing good loving others life others kind book increased opinion question wife energy hatred many book two pass get lost middle wish style see point view person without memory person exist accept truth desertion keep beautiful inside stupid hate day loved liked book,Negative,"Did I really not read why I understood the amount of hatred, hatred and negative energy that the book sends on my face, why did all this challenge? Why all this hate? Why are you hardly forgetting and pain? When I hurt the image of the beloved, we forgot how much I hated this book. I don’t know when I felt, and dreams were continuing in describing how good and loving she is and helps others and her friends, and how she attaches her life to others and this kind of boasting, but after that the book increased in my opinion a question that his wife sent in me an energy of hatred for men that has no limits. I did not like the many analogies in the book, so two lines did not pass but their letters were filled with the complex analogy that makes me get lost in the middle of words ... I wish the style was simpler than that. I see from my point of view that a person without a memory as a person does not exist .. Why do we not only accept the truth of desertion and keep these beautiful memories inside us ... How stupid is that we hate one day who loved us. I never liked the book
"
Positive,world strange,Negative,"She came out of the world strange as she came to her
"
Positive,imminent,Negative,"Excellent and imminent
"
Negative,disappointing old change room three,Negative,"disappointing. There is no. The rooms are very old and I had to change the room three times
"
Positive,full leave lot resemble road worth stand meditation experience reading mural general successful honest nothing text full historical know opinion important pillar understanding interpretation fun agreement fully admire likeness everything write far lose confidence concern alone,Negative,"As for me, I am full. With all reasons to leave. It is not mine .. I am not mine. I am not mine. Certainly, I have come across a lot of phrases that resemble road signs ... worth the stand and meditation. But the experience of reading the mural in general was not successful .. This is to be honest with me, nothing more. . And the text is full of historical references that I do not know ... and it is, in my opinion, the most important pillar of its understanding and interpretation that leads to fun. . The agreement to fully admire the likeness of everything the adults write confuses me ... but so far he cannot lose my confidence in my own tastes that concern me alone.
"
Positive,divide book two first part beginning intellectual conquest inside three pivotal changed namely focus controversial book governance book reprehensible refutation opinion display book neutrally read judgment bad image according description architecture book prefer read book general controversial around intellectual continuing course part understand right second part secular response weak weak see current situation address two first atonement past despite taking place time others people time course present time easier atonement second point point system extent system king inside question adopt system system allow subject humble point view need create system strength progress strength allow drown materialism system find two book,Negative,"We can divide the book into two parts. The first part talks about the caliphate and the beginning of the intellectual conquest and secularization from the inside and took three pivotal figures and presented their differing opinions and changed them, namely Sheikh Ali Abdel Razek, Taha Hussein and Muhammad Hussein Heikal, although the focus was on Sheikh Ali Abdel Razek&#39;s controversial book, Islam and the origins of governance and presented The book against him is reprehensible to his refutation, and in my opinion, he did not display the book neutrally, so whoever did not read Islam and the fundamentals of judgment will have a very bad image according to Muhammad’s description of his architecture in this book, therefore I prefer to read that book before this, in general this topic is controversial and has been around intellectual discussions Even continuing Today, of course, the part that he presented did not understand his right, the second part on the suspicions usually raised by secular regimes and their response to them, even though most of his responses are weak and weak for those who see the conditions in the current situation, and I will address two points first in the issue of atonement as he claims that in the past no one has atoned anyone despite Intellectual differences that were taking place and was based on some incidents at the time, but he neglected other stances, such as what happened to scholars and philosophers such as Abu Bakr Al-Razi and others at the hands of people at that time, and of course in our present time there is no easier than atonement, the second point the point of the Islamic system and the caliphate and the extent of Beauty of this system and that Inheritance and the king were not inside, but they entered and the question that arises is why I adopt a system that opens the door to tyrants and I can take a system that does not allow this subject .. From my humble point of view we need to create a system by ourselves that combines our strength as East and the progress and strength of the West and does not allow us to drown in Their materialism, nor drowning in our myths and this system, I did not find between the two sides of this book
"
Positive,many dramatic better good,Negative,"Spelling mistakes are many: / .. the end is dramatic, it is better that good triumphs
"
Positive,book reading book boring read,Negative,"A book that talks about ideas that are applied during reading, a book that is boring and rewarded God when I read it from lashes to lashes
"
Positive,enjoy book many understand think science fiction difficult achieve practice lack understanding book familiar physical interested,Negative,"Frankly, I did not enjoy this book and there are many points that I did not understand and there are other points that I think are only found in science fiction books and films based on them and difficult to achieve in practice and we have not reached it yet and it may be that my lack of understanding of this book is that I am not familiar with all the physical theories and I am not interested By searching in this field
"
Positive,wish better presence garage near campus buffet poor cleanliness regular daily,Negative,"I wish I could have been better. The presence of a garage and near the campus. Cleanliness and buffet is very poor. Room cleanliness is not regular daily
"
Positive,local student important except screaming screaming sweaty pulp love see past center type many outside important place left,Negative,"I was a local student, it is important, except for one of the sitting customers screaming screaming, we do not have a sweaty pulp, I love to see the past, but I have previously seen it only in the center of chickpeas and it was of the same type many outside the important place that I got up and left eating for them
"
Positive,chicken bestselling book opinion title see dream flight death title chicken mother realistic title lot text similar symbolic story book monk car story course easy remember story dream pursue goal try find achieve avoid fear strive provide despite everything make sense succeed suitable life partner true friend support right road alone good turn get back gender act squadron first accept difference really ocean use enhance position community surroundings behind every evil behavior often reason owner find better solution last long challenge reading book book writer class,Negative,"The chicken that dreamed of flying How could it be the best-selling book. In any case, it seems that the Koreans have another opinion .... Initially, the title attracted me, but I did not see where her dream lies in the flight that she discovered before her death. Perhaps if the title was the chicken that I dreamed of being a mother, it would be more realistic ... Far from the title that took me a lot if we moved to the text and found it very similar to the symbolic story in the book of the monk who sold the Ferrari car to Robin Sharma. Where the story entrenches some values, of course, it will be easy to remember it with a story ... You must have a dream to pursue. Focus on your goal, try to find ways to achieve it, and avoid fear. Always strive to provide your needs, despite everything. Freedom and dreams will not make sense if we do not succeed in finding a suitable life partner and a true friend who will support us. Sometimes doing the right thing leads you to take the road alone. The good that you do will turn and get back to you from the gender of the act you provided. Different from the squadron, at first, it will be rejected. Others do not accept the difference. Ask yourself what you really want and not what the ocean dictates. Know your talents and strengths and use them to enhance your position in your community and surroundings. Finally, behind every evil behavior there is often a reason why its owner cannot find a better solution. Valuable things do not last long. What is the challenge of reading a book? Asian book writer class
"
Negative,weak inappropriate,Negative,"Very weak. Breakfast is inappropriate.
"
Positive,nothing hero defeat soul helplessness helplessness milk fill deficiency become part corrupt doctrine life brave woman exactly get woman afraid empty jealous,Negative,"There is nothing tastier than being the hero of yourself, to defeat the refraction of your soul, your helplessness, and your helplessness that I fed you with milk, to fill your deficiency, which has become part of his corrupt doctrine, that. This life passes a brave woman, knows what she wants, and knows exactly how to get it. Such a woman is afraid of cowards by men, and empty women are jealous of her
"
Negative,disappointing book match smell bad inconvenience outside,Negative,"disappointing. . The pictures shown on the book do not match the smell of smoking, the airspace smells bad, and the inconvenience from the outside
"
Negative,nothing everything,Negative,"Dislike . nothing. everything
"
Negative,ordinary book deeper mystery reading little murderer really first crime killed,Negative,"A very ordinary book .. Perhaps because I expected him to have a deeper mystery .. and raised it even more so that I was invested in reading it .. And on the little boy&#39;s murderer .. So this was really expected from the first crime he killed ..
"
Positive,follow approach well reader gradually merge reading reach word thank novel deny beginning first liked idea first part first personality nothing new gossip useless feel writer framework idea lot fill award nominate quality true many candidate idea good method processing badly destroy everything make feel bored enough make skip lot behavior lot poker pessimistic writer act way presence novel poker list reach short nomination beginning strike five sixth surprising usual charge awesome award two enough,Negative,"It seems that all the novels nominated for the Poker Prize follow the same approach, starting well and attracting the reader, and that gradually decreases as we merge into reading until we reach the end word, so thank God. This is what happened to me in that novel, I do not deny that I was drawn in the beginning with the first pages and I liked the idea, especially the first part of it, and even with the first personality mentioned, but after that I found nothing new but gossip that is useless and even I feel that the writer himself went out of The framework of his idea is in a lot of pages, just to fill out the pages, as if the award does not nominate anything but the quality of the works, which is proven true in many of the candidate narrations .. The idea is good, but the method of processing came badly to destroy everything and make me feel bored enough to make me skip a lot of pages It is the behavior that I found I was doing towards a lot of For poker works. I may be pessimistic about the writer, but what makes me act in that way is the presence of that novel in the poker list, even if it does not reach the short, but its nomination from the beginning makes me strike five fifths in a sixth, but it is not surprising, this is the usual with those in charge of that awesome award .. two stars are enough
"
Negative,nothing dirty dirty dirty dirty land dirty smoke smell everywhere bathroom smell disgusting inside room restoration dawn disturbing air annoying dirtiest life cell back second,Negative,"Bad . nothing. And dirty dirty dirty walls dirty land dirty smoke smell everywhere the bathroom smell is disgusting and inside the room the restoration sounds from dawn disturbing air conditioner very annoying dirtiest hotel with the life that his cell pushed them they refused to take back and went to a second hotel
"
Positive,much better best,Negative,"I was expecting it would be much better. The best of the poems in the poems of Ahmed Al-Najjar and Mustafa Ibrahim:
"
Negative,petty adventure trivial story fanaticism eloquence eloquence verse poetry writing book idea book rise forever,Negative,"A petty tale about adventure with a trivial story. And it is not fanaticism for the Arabic, the eloquence of the Arabs, their eloquence and their briefness of meanings in a verse of poetry instead of writing a book. He had preceded the idea of the foretold book when he said. And whoever feared the rise of generations, lives forever between the pits
"
Positive,sanctuary dirty air say miss heck recommend,Negative,"Umrah. Proximity to the sanctuary. Filth and dirty rooms, worn out bathrooms, deactivating air conditioners, and not turning them on. Can I say miss a heck of a hotel? I would never recommend booking it.
"
Positive,write story faction write dialogue actually reader novel lack focus two read book fun idea story well genius narration think writer first idea idea think book certain movie simplify movie,Negative,"How to write a story, a very faction. The expressions and voices that you write in the dialogue, as if you were actually working, that separates the reader from enjoying the events of the novel between the lack of focus and the two chapters I read the book not at all fun. And if he was in an idea and a story he met very well with a genius narration, I think the writer Muqdarsh brings me to the first stages of delving into the idea, then the idea. I will never think of it again. But because the book is done like any certain movie scenario, we will simplify it as a movie
"
Positive,philosophical novel highest style language bad language audible eloquent beautiful read everywhere get rid read every vacuum novel deeply neighborhood atmosphere poverty pain simplicity people familiarity good,Negative,"And if it was a philosophical novel of the highest style for some, but its language was bad for me, so the Egyptian language is spoken, audible, eloquent and beautiful more than it is read. For me, I even took it with me everywhere to get rid of it and read it in every vacuum .. All that the novel added to me was that it deeply inserted me into the Egyptian neighborhood until I felt the atmosphere of poverty, its pain, the simplicity of people and their familiarity, and this is the good.
"
Positive,place stay great location standard cleanliness,Negative,"C place to stay with a great location. Location only. Reception and standard of cleanliness and no workers for loading purposes
"
Positive,novel novel love innocent beautiful title nothing,Negative,"Created in a novel in December, all dreams come to an end. As for this novel, love is innocent of it, and its most beautiful title is nothing more
"
Positive,translation,Negative,"I did not like the translation ..
"
