Original Text,Original Tag,Senti Score 
"استثنائي. . اسعار المطاعم مرتفعة جدا
",Positive,Positive
"فندق الراحه والقرب من العباده . كل شي الحمدالله جميل في هذا الفندق. لايوجد
",Positive,Positive
"كتاب لذيذ وسهل ..من النوع اللى هو خفيف ف الحجم بس كلامه تقيل ع القلب ..اللى هو م الاخر هم يضحك بس عامة استاذ بلال فضل من الناس القليلة اللى بتضحكنى رغم صعوبة الموضوع اللى بتكلم فيه ..وبيعجبنى اوى انه ف نص الكلام بيدخل جمل مأثورة او كلمات من القران ...من الحاجات اللى بتمتعنى. اه بالمناسبة الكلام ده لسة ليه صداه حاليا مما يعنى اننا ف حاجة الى ثورة جديدة ..وانا اتمناها من كل قلبى عاجلا غير اجلا ... عجبتنى كمان مقالة هل حقا نزلت عدالة السماء على استاد باليرمو لانها ملائمة جدا لمستوى الاهلى الموسم دة ..وسرنى جدا انى عرفت ان الاستاذ أهلاوى : . اخر حاجة انا كنت ناوية اعتذر عن انى هقرأه . بس من الله علي بكارنية المكتبة الحمد لله. ولسة بنقول. يسقط يسقط حكم العسكر
",Positive,Positive
"استثنائي. . الموقف السيارات
",Positive,Positive
"شكرا فندق تايم روبي... . معاملة الموظفين ممتازة خاصة الاستقبال..الواي فاي ممتاز... المنطقة المحيطة بها اصلاحات كثيرة مما يخلق الازعاج و الاتربة..
",Positive,Positive
"المكان المناسب لأداء نسك العمرة . . السعر المتميز مقابل الخدمة المتميزة ، النظافة .. عدم وجود مطعم .
",Positive,Positive
"من اجمل الكتب اللى قرأتها واستمتعت بيه جدا. اول ما مسكته عشان تقرأه ندمت انى اشتريته .وخليته للاخر = . بس يوم ما بدأت اقرأه ما نمتش لحد ما خلصته .. كان فية اثاره وجذب للقارئ مش طبيعية وعجبنى . بجد كتاب كويس جدا :
",Positive,Positive
"مميز وخاصة لغير المدخنين . قريب من السوق فيه قهوه عربيه الإطلالة جميله على المدينة او البحر.
",Positive,Positive
"اسلوب رائع و جرأة في وقت محدش كان بيفتح بقه. و تصوير للأحداث رائع ودراية كبيرة في العالم اللي بيكتب عنه
",Positive,Positive
"جميل خفيف الظل ، نصائح مسددة مدعمة بأمثلة .. أعتب عليه أن أحرق روايات كاملة في بضعة أسطر. خاصة السكرية و حضرة المحترم ل نجيب ... الكتاب يتنوع بين التوجيه و القصص ... أحببت ما فيه ..
",Positive,Positive
"جيد. الموقع. الاثاث ليس بمستوي بعض فنادق روتانا
",Positive,Positive
"كاريكاتير عبقري في حقيقة الامر بغض النظر عمن يعنيه وهو السادات بكل وضوح. ورؤية السادات بهذه الصورة الشيطانية ليس مستغربا من صحفي في جريدة الاهالي وهي الصادرة عن حزب التجمع الماركسي الاساس. لكن بغض النظر عن اى شئ الكاريكاتير صالح لكل الاماكن والازمنة وحكام العالم الثالث. ولم اكن اعلم ان مصطلح التطبيل ويعني نفاق الحكام كان موجودا منذ السبعينات لقد كنت اظنه مصطلحا حديثا. واخيرا يظهر هذا الكتاب الكاريكاتير كما يجب ان يكون
",Positive,Positive
"سأكرر السكن فيه مره ثانيه . سهولة الوصول إليه وقربه من المطاعم والسوبرماركت موظفين الاستقبال متعاونين وبشوشين. النت ضعيف بعض الاوقاترائحة الممر غير جيده في اليوم الثاني سعر الافطار عالي بنظريتسجيل الدخول تأخر علما بأن لي دخول مبكر للفندق قبل الموعد بساعتين ولاكن بعذر ان الغرفه تحت التنظيف وغير جاهزه
",Positive,Positive
"ابداع . الموقع والراحه والاستقبال والنظافه وكل شي جميل جدا. لاشي
",Positive,Positive
"حين يستخفك الفرح، ارجع إلى أعماق قلبك، فترى أنك في الحقيقة تفرح بما كان يوما مصدر حزنك.. حين يغمرك الحزن تأمل قلبك من جديد، فسترى أنك في الحقيقة تبكي مما كان يوما مصدر بهجتك
",Positive,Positive
"من اعذب الرسائل التي قراتها..... لكن كانت ستكون اروع لوكانت رسائل غادة جنبا الى جنب رسائله..كانت ستكتمل صورة قصتهما العذبة الشهية
",Positive,Positive
"مثير جدا للأفكار ،فلسفي ومستفز أحيانا. أكثر ما أعجبني الشهيد ،ميلاد فكرة ،في سنة المليون،أرني الله ، ساعي البريد
",Positive,Negative
"أذهلني تطابق النفاق، رغم إختلاف الأزمنة . يا أهل النفاق تلك هى أرضكم .. و ذلك هو غرسكم .. ما فعلت سوى أن طفت بها وعرضت على سبيل العينة بعض ما بها .. فإن رأيتموه قبيحا مشوها، فلا تلومونى بل لوموا أنفسكم .. لوموا الأصل و لا تلوموا المرآة أيها المنافقون، هذه قصتكم، و من كان منكم بلا نفاق فليرجمنى بحجر . رواية عظيمة
",Positive,Negative
"رائعة جدا قد يحدث لاي واحدة من النساء ماحدث مع جميلة التي يرسم مصير اقدارها سلطان جائر يعشق الحروب والدمار ويجعل من الرجال الات حربية يدفن الحنين والود بين ترسانتها ، ولاتخلو بعض بلداننا العربية خصوصا التي انهكتها الحروب والخراب ، رواية رائعة فعلا تستحق القراءة .
",Positive,Negative
"اقامه رائعه . الفندق روعه في كل شي. لايوجد
",Positive,Positive
"ان دل هذا الكتاب على شئ فانما يدل على صدق الرجل فى سرد الاحداث فلا خاف من ان يتهمه الناس بالتشدد او ان يتهمه اخوته بالتسيب
",Positive,Negative
"ممتاز وجميع الخدمات فيه . موقعه والخدمات. لاشي
",Positive,Positive
"خلصت الكتاب في قاعدة واحدة من جمال الإسلوب
",Positive,Negative
"كتاب رائع لكاتب أروع.. لم يسبق لي أن قرأت لأحد جابر مثل ربيع جابر فكتبه نوع من أنواع السحر فعند قراءة الكتاب يذهب الإنسان ليغوص مع الشخوص ضمن جميع التفاصيل الموجودة فيعجب بالزمان والمكان ويتمنى لو أنه عاش القصة بنفسه.. في هذه الرواية يذكر ربيع كيف ضاع الربيع عن أخيه محمد الذي يصغره بعدة أعوام وكيف يخرج محمد بعد سبع سنوات للبحث عنه فيكمل ياته كاملة في الخارج ينتقل من غرناطة عبر الأندلس ثم للمغرب وتونس ويعمل ويتنقل في هذه الأعوام يرى جمالا وألما ويرى الكثير يتززوج من الزهراء وتكتمل معظم نواح ي الحياة له في طرابلس لبنان ولكنه ما زال يبحث عن الربيع: يصل بعد خمسة وعشرين عاما من البحث إلى قبة على جبل عال ويتحاور فيها مع الربيع الذي توفي.. كتاب رائع يستحق القراءة
",Positive,Positive
"روايه ليست بالرائعه فى الاسلوب والعرض للاحداث ولكن بها حقائق لن نستطيع طمسها الثورة التى نسير على امتدادها الان أو ان شئت فقل الانقلاب يشهد التاريخ ان مصر دوله بلا ثورة واحده ولكن الموضوع فى مجمله وتناول الكاتب هذا الموضوع بالذات يشى بأفق واسع ونهايه غير مألوفه فى اوساطنا العربيه كان من الطبيعى او النمطى ان يسجن البطل الذى قتل الكثير ولكن ايضا فكرة الروايه تحاكى روايه غرام الافاعى نفس الموضوع تقريبا ولكن مع بعض التطعيمات التى لم تغير من البيئه. البطل صيدلى والاحداث توضوح الى حد ما ما يعانيه الصيدلى فى مجتمعنا المصرى الرجعى كيف حولنا تلك المهنه الى مجرد ايادى تتناقل الدواء فقط كذلك كان غرام الافاعى وايضا ملحوظة لم تعد ملحوظة من كثرة تناولها ان احمد مراد يميل فى رواياته واعماله الى الاباحيه بدرجه متكلفه لا تضف جديدا الى الاحداث ولن تؤثر اذا تم حذفها. لا أعلم ان كان الخيال مريض او الكاتب اراد ان يجذب نوعيه معينه من القراء ليبتاع الكثير من الطبعات وأظن ذلك ولكن ايضا بضاعته من موضوع وبعض وجهات النظر السويه تجذب القارئ المتطلع للعلم فهو يلعب على اوتار متطلبات السوق والعقل
",Positive,Positive
"قراءاتي السابقة لعبد الوهاب مطاوع اثبتتلي انه كاتب رائع ولا شك جدير بالاحترام والتقدير .. وهذه المقالات زادت ذلك اثباتا... فعلا رجل حكيم في قراراته وجدير بثقة الناس واختياره لمشاركتهم همومهم و مؤرقاتهم..
",Positive,Positive
"اسم غالي لفندق قديم . الموقع على البحر يعتبر جميل. سعر الغرفة مقابل الخدمات يعتبر مبالغ فيه. الافطار كان عادي حجم الغرفة كذلك. مكان الغرفة يعتبر بعيد لوجود مصعد واحد فقط.
",Positive,Positive
"كانت جميله جدااا . كل شي رائع.
",Positive,Positive
"استثنائي. الخدمة كانت رائعة و نظيف جدا ولا كأنه اربع نجوم ما شاءالله شي رائع.
",Positive,Positive
"من شواطئ امريكا مرورا بتاريخ اثينا وعطفا على ايران الخمينى وثورتها. وعوده لارض الكنانه مصر. تجول الكاتب بفكره وتحليله قبل ان يخطو بجسده. فعاصر الاختلاف ووعى جوانبه. وميز الحسن فيه من الخبيث. فكانت جوله سياحيه للعقول ورفاهيتها لا رفاهيه الماده والهوى
",Positive,Negative
"من أجمل كتب السيرة الذاتية التي قرأتها، أحببت تأملات الكاتب العميقة وتساؤلاته ، وكذلك المقاطع الشعرية أضافت للكتاب سحرا خاصا ، يجعلك تتوقف عن القراءة بين فترة وأخرى لتصمت فقط وتسمح للكلمات أن تتسرب لروحك
",Positive,Negative
"لا شك بان الحرة قد تكلفك ثمنا غالي وقد تجبرك في بعض الاحيان التخلي عن مبادئ تربت عليها ولو لفترة وجيزة.. هذه المذكرات تبرز شجاعة الكاتبة وذكائها الفريد وتحكي عن الثمن الغالي الذي دفعته وعائلتها. بوكليست
",Positive,Positive
"دبي . الغرفه كانت ممتازه ومطله علي المسبح الخاص وفي نوع من الخصوصيه.
",Positive,Positive
"الخمس وخمسين مشكله هذي موجوده في كتاب اعترافات عاشق لا ادري ما الداعي للتكرار
",Positive,Negative
"رائع و فريد و ممتع .... تاريخ القراءة. من حاول ذلك قبل ألبرتو مانغويل ... أنت تستعيد الزمن عابرا كل دروب السنين لترى بانوراما رفاقك القراء عبر التاريخ. كيف صار الكتاب كتابا. و كيف وصلتني الحروف كذلك. و لماذا أقرأ الآن صامتا. و كم مرة قبلي ناموا بين السطور. و كم من عاشق موله بالصفحات كان يعتزل العالم إلى ما بين الدفتين مثلك ... من بلاد بعيدة و من أزمنة بعيدة. أنت تقرأ تاريخ القراءة . تحتاج إلى فلسفة و جلسة تأمل كي تحلل هذه العبارة و تذوق الكامن فيها من الطرب و المفارقة و العمق و ملايين ملايين ملايين الصفحات التي مرت عليها عيون كثيرة و قلوب كثيرة و تبدلت عليها الحكايات و الأفكار و الدول .... هنا. سترى رفاقك القارئين و تسمعهم و تدخل المخدع السري لعاداتهم أمام النبع الأول : الكلمة. و سينصحونك و يدلونك على الكثير. ربما أسماء الكتب الأجنبية الطاغية على الصفحات تقلل من بهائه و خيط الربط بينك و بينه و لكن لعل ذلك يكون دافعا لاحدنا معشر القراء كي ننافس مانغويل و نكتب تاريخ قراءتنا ... و ما أغناه ... ما أغناه ... ما أغناه
",Positive,Positive
"ممتاز. رقي طاقم العمل ومساعدتهم قدر الامكان نظافة الفندق والغرف دائما .. الموقع قريب من دبي مول فقط والمطار.
",Positive,Positive
"أحسن كتاب قريته لعمر طاهر غير جر ناعم ، استمتعت بيه جدااااااااا من أول الاسقاطات السياسية الساخرة و الحكم و المواعظ اللي بين السطور و مقولات المشاهير اللي ذكرها و لحد شخصية برما المحورية التحفة المليانة خبرة ، جميييييييييييييل جدا في المجمل :
",Positive,Positive
"رائعة تهت في الوصف المتناسق للقرى الفلسطينية ولتفاصيل أحداث المعارك
",Positive,Positive
"جيد جدا. فندق جميل ومريح. سجادة الغرفة قديمة
",Positive,Positive
"الناصر . استقبال رائع الموقع مميز ...ونظافة وتعامل وخدمات سريعة اسعار جدا معقولةموظفو الاستقبال رائعون وفيهم اريحية. كل مارأيته ممتاز
",Positive,Positive
"فندق اكثر من رائع ذهبت الاسبوع الماضى لشرم الشيخ ونزلت بشيرتون ووجدته فى غاية الفخامة والنظافة .ومكثت يومين فى غاية الروعة .الشاطىء رائع وحمام السباحة رائع وكل العاملين كانوا يشعروك بانك اهم ضيف فى الفنق.اخص بالذكر مديرى الالمكاتب الاماميه السيد/احمد اباظة والسيد محمود سالم وكل موظفى المكاتب الامامية الذين كانوا يحلون اى مشكلة فى اقصر وقت . وكذلك المطعم والطعام كانوا رائعين
",Positive,Positive
"بجد كل شي تمام بالأخص الاستاذ محمد جزاه الله كل خير . من افضل الفنادق الي استجميت فيهاا. كل شي علي اعلي مستوي
",Positive,Positive
"استثنائي. المكان ومواقف السيارات وممتاز جدا للعائلات لقربه من ستي ستنتر الديرة وسوق نايف. حمام السباحة مختلط ويرتاده الاجانب
",Positive,Positive
"جيد جدا . نظافه. الموظف في مكتب الاستقبال كانت معاملته سيئه جدا وغير متعاون للاسف
",Positive,Positive
"استثنائي. . العمال فقط بطيئين في احظار الحقائب للغرف عند التسجيل وحجز الغرفه تصل الى نصف ساعه
",Positive,Positive
"اكتشاف هام للغاية هذا العام. الرائع وديع سعادة. هل سمعت عن العدمية ؟. هنا ستشم العدمية وتتنفسها في كلماته. الديوان رائع ونثري راقي. اخترت لكم منه هذين المقطعين. . الغباريون. مقفرة الطرقات وهابون وحدنا. الأرض صارت غبارا وها نحن نكمل حياة الغبار.. إننا نكمل حياة غبار الأرض. هذا الذي يجب أن يكمل حياته أحد، وها نحن نفعل.. لا نكمل حياة الأرض بل حياة غبارنا. لا نكمل حياة بل موتا. جئنا لنرافق الغبار في هبوبه الأخير، نحمله إلى مثواه، وننام معه.. ما كان الأرض لا يشبهنا. إنه نقيضنا ونحن أنقاضه. وما جئنا لنكمل تلك الأرض بل لننقضها. ما جئنا لنكمل بل لننقض.. لا دين قبلنا لا دين بعدنا لا دين لنا. غباريون بلا دين ولا متدينين فليس للغبار غير الهباء. سابحون في فراغ. في الفضاء الذي لا الأرض أمه ولا ولده. في فراغ الأبوة وفراغ البنوة. إننا ذاهبون إلى إلهنا، إلى العدم.. نحن الغباريون، و هذا ما رأيناه في هبوبنا، هذا ما كان شيئا قبل أن يصير غبارا، ما كان شيئا قبل أن نصير نحن الغبار. . جمال العابر. العابرون سريعا جميلون. لا يتركون ثقل ظل. ربما غبارا قليلا، سرعان ما يختفي.. الأكثر جمالا بيننا، المتخلي عن حضوره. التارك فسحة نظيفة بشغور مقعده. جمالا في الهواء بغياب صوته. صفاء في التراب بمساحته غير المزروعة. الأكثر جمالا بيننا: الغائب.. قاطع المكان وقاطع الوقت بخفة لا تترك للمكان أن يسبيه ولا للوقت ان يذريه. مذر نفسه في الهبوب السريع غير تارك تبنا لبيدره ولا قمحا لحقل سواه. المنسحب من شرط المشي للوصول. المنسحب من الوصول.. العابر سريعا كملاك مهاجر. غير تارك إقامة قد تكون مكانا لخطيئة. غير مقترف خطيئة، غير مقترف إقامة.. سريعا تحت شمس لا تمسه، تحت مطر لا يبلله، فوق تراب لا يبقى منه أثر عليه. سريعا بلا أثر ولا إرث ولا ميراث.. لم يقم كفاية كي يتعلم لغة. لم يقم كي يتشرب عادات. لا لغة له ولا عادات ولا معلمين ولا تلاميذ. عابر فوق اللغة، فوق العادات، فوق المراتب والأسماء والاقتداء.. بلا اسم، فوق النداء والمناداة.. وفوق الإيماءات، إلا إيماءة العبور.. وبلا صوت، لأن الصوت ثقل في الهواء.. لأن الصوت قد يرتطم بآخر. قد يسحق صوتا آخر في الفضاء. قد يزعج النسمات.. وبلا رغبة. لأن الرغبة إقامة، ثبات.. العابرون سريعا جميلون. لا يقيمون في مكان كي يتركوا فيه بشاعة. لا يبقون وقتا يكفي لترك بقعة في ذاكرة المقيمين.. الذين أقاموا طويلا معنا تركوا بقعا على قماش ذاكرتنا لا نعرف كيف نمحوها.. بقع مؤلمة، أينما كان على المقاعد، بحيث لم يعد يمكننا الجلوس.. المقيمون طويلا يسلبون مقاعدنا. يحولون أثاث بيوتنا إلى قطع منهم. بحيث نجلس، إذا جلسنا، على ضلوعهم، على عظامهم.. يسحق المقيمون المقيمين. أما العابرون فلا يسحقون أحدا ولا أحد يسحقهم. لا يطأون على كائنات ولا يثقلون خطوا على أرض. حتى الهواء لا يلمحهم غير لحظة.. بلا قلق ولا ندم ولا آلهة ولا أتباع. إيمان واحد لهم: العبور.. المتخلون عن الأمكنة والأوطان والآباء والبنين. كاسرو القيد. مخربو المشنقة المصنوعة من حديد المكان والزمان والانتماء.. إنهم يتساقطون، الواحد تلو الآخر، المتشبثون بالإقامة. يتساقطون بأوطانهم التي صارت وهما. بانتماءاتهم التي صارت كذبا. بأبوتهم التي صارت عبئا. بايماناتهم التي تقتلنا، وتقتلهم، وتقتل الحياة.. العابرون لا ضحايا لهم. هل لذلك بات علينا، كي نمجد الحياة، أن نمجد عبورها بسرعة، أن نمجد الانتحار؟. بخفة خفقة الطير وانفتاح النسمة للجناح. بخفة انفتاح هواء العبور واندمال هواء الانطلاق.. عابرون سريعا، كلحظة انقصاف.. لهم من العصفور صوت، من الغصن نظرة، من الزهرة شميم خاطف.. عصافيرهم للغناء والرحيل، لا للسجن في أقفاص أو تأبيدها محنطة في واجهات. طيورهم الروح المسافرة، لا الريش المقيم.. وزهورهم العبق الشارد خارج الإناء.. سوى المرتحلين، واللامبالين، والعابثين بالإقامة، والممسوسين، والموتى، من كان سيكتشف جمال العبور؟. وأية لحظة تكتشف الحياة أكثر من لحظة الغياب عنها؟. هل لذلك تجب مصادقة الرحيل أكثر من مصادقة الإقامة؟. وهل، لذلك، على حياتنا أن تكون، فقط، تمرينا على جمال الرحيل؟. أجملنا الراحلون. أجملنا المنتحرون. الذين لم يريدوا شيئا ولم يستأثر بهم شيء. الذين خطوا خطوة واحدة في النهر كانت كافية لاكتشاف المياه.. أجملنا الذين ليسوا بيننا. الذين غادرونا خفيفين، تاركين، بتواضع، مقاعدهم لناس قد يأتون الآن، إلى هذه الحفلة.. حفلة سخيفة، ورغم ذلك لا يترك المتشبثون بالإقامة مقعدا . لكن لم المقاعد، ما دام المحتفلون يبدأون ضيوفا وينتهون أعداء؟. لنمض إذن، بخفة، قبل أن تلتهمنا الخناجر، قبل أن نصير طبق الوليمة.. لحظة الوصول إلى الاحتفال هي كل جمال الاحتفال. وبعدها، سريعا، يصير الجمال هو المغادرة.. الخطوة المغادرة، هي الأجمل دائما.. الراحلون يمتزجون بالنسيم. وإذ نقف نحن، لتشييعهم، فلنشيع معهم ذكراهم أيضا. لأن الذكرى تعيق رحيلهم، تعيدهم إلى مكانهم، تجعلهم جمادا.. الذاكرة تعيق الراغبين في الموت. وتجعل الراغبين في الحياة موتى.. فلندفنها إذن.. لندفن الذاكرة ونحن نغني.. إنها حفلة سخيفة في إية حال، ولكن بما أننا وصلنا، فلنغن ونرقص.. ثوان، قد نكون فيها جميلين.. لكن أجملنا سيبقى: الغائب.. شكرا لك ايها الرائع سأحرص على قراءة باقى اعمالك. وجدولتهم ضمن خططي
",Positive,Negative
"رواية علم لا تحتاج للتعريف،،، نصيحة عندما تنتهي من قرائتها شاهد. . هو فيلم موسيقى درامي بريطاني مقتبس من هذه الرواية
",Positive,Negative
"رائعة جدآ . الفندق بكل مافيه رائع. لاشيئ
",Positive,Positive
"روايه لطيفه جدا لم آتخيل بساطتها بهذا الكم . المحزن انها كانت اقل من عاديه ، لم ارى فيها فريده بشئ. كانت انسانه كثيره الشكوى لا يعجبها شيء تبحث عن الحب لا آكثر تريد شخص غير عادي . شخص يهتم بكل تفاصيل الحياه ، على عكسها ، لا آعلم هكذا كان رآي ب فريده لامستني بكثير من المواقف ، . واقعيه نوعا ما ب رآيها بالمجتمع لان هذا حالنا . كل الذي آعرفه اني كبرت كثيرا .. . حزينه جدا .. . ليس لاني كسرت ظفري او قصصت شعري آكثر من اللازم ،حزينه لاني تيقنت ان ابسط آحلامي لن تكون حقيقه . الكتب سبيلي الذي اتخفف فيه من زحمه الاستفهامات وارتب الفوضى في داخلي. توقفت عن الشكوى والسؤال. مهزومه ....
",Positive,Negative
"ارقص كما لو أن لا أحد يراك. غن كما لو أن لا أحد يسمعك. أحب كما لو أن لا أحد سبق أن جرحك. كم من الأشياء تفعل هذا المساء لأول مرة. أيتها الطيور ، أيتها الجبال ، أيتها الأمواج ، أيتها الينابيع ، أيتها الشلالات ، يا كل الكائنات ، إني أسمع ناياتك تناديني. أيتها الحياة. دعي كمنجاتك تطيل عزفها.. وهاتي يدك. لمثل هذا الحزن الباذخ بهجة. راقصيني. . ما من قصة حب إلا وتبدأ بحركة موسيقية ، قائد الاوكسترا فيها ليس قلبك ، إنما القدر الذي يخفي عنك عصاه . بها يقودك نحو سلم موسيقي لا درج له، ما دمت لا تمتلك من سيمفونية العمر لا مفتاح صول .. القفلة الموسيقية. . كالعادة رائعة أحلام. بلغتها العذبة الساحرة. وعمق تشبيهاتها. كأنى بسمع اجمل عزف على البيانو وأنا بقرأ لأحلام.
",Positive,Positive
"ممتاز . الجو العام للفندق.
",Positive,Positive
"جيد. الموقع ممتاز والمنتجع.
",Positive,Positive
"عبقرية مصطفى محمود تتجسد في قدرته على تحليل الواقع وقراءة المستقبل. لم اقراء كثيرا لمصطفى محمود لكن كل مرة انتهي من التهام احد كتبه انتهي منه وانا في حالة انبهار. العاب السيرك السياسي هو ليس تحليلا فقط لاحداث حصلت قديما بل هة قراءة لمستقبلنا الحالي ومايدور فيه
",Positive,Negative
"جيد جدا. العاملبن. قدم الاثاث
",Positive,Positive
"حياة واحدة لاتحتمل الخيارات والعودة لتصحيح، كأن يد تيريزا التي احكمت قبضتها على يده لم تكن صدفه لو جاز تعبيري انها مصافحه للموت الذي تفشى داخله حتى قضى عليه بعد عودته بحضورها،تجلي الحب في النوم وليس في المضاجعه يجعل توماس يغفر لنفسه شغفه اللامنتهي في كشف الانا الانثويه لان الهدف الذي نسعى له في الحقيقه شيء مجهول لانعلم كنته بعد، تريزا والجسد ماوراء الجسد والميزان والخفة تثقل كفة وتطير الأخرى بالكفه وليس كل ثقل مرهق كوقع جسده على جسدها الغض .. كيف بترت يده وعاد ليصافحها بجسد آخر مشهد حفر في مخيلتي مرعب مشوق مضطرب جدا لشخصيات ولدت من رحم الكلمات .. وان كنت تخشى الحاضر اهرب للمستقبل لكن اين الخفه اذا ليس من ذلك بد.. ليس من ذلك بد .
",Positive,Negative
"جيد نوعا ما السعر كان مرتفع جدا بحدود دينار لليله لغرفه واحد الوصول للفندق صعب لأني أول مره ايي جده و الخدمات لم تكن بالسمعه والشهر للإنتر كانت عاديه جدا المصافط مو كثيره ووقت الزحمه السيياير فوق بعض هذا اللي أذكره .
",Positive,Positive
"سنترو كابيتال ابداع في عالم الضيافة واتمنى ان تكتمل صورته الابداعية . ديكور الفندق جميل والغرفة تعطيك مستوى جيد من الراحة والفخامة رغم صغر حجمها. الحمام يحتاج ان يكون اكثر عزلة عن الغرفةلا يوجد وجبات للغرف و انما سندويشات ووجبات صغيرة و اسعار الطعام عالية جدالا يوجد مساعدة في حمل الامتعةالشامبو سيء جدا
",Positive,Positive
"خدمة ممتازة . . عدم وجود مواقف سيارات
",Positive,Negative
"جيد. . لو كان في مطعم بالفندق او على الأقل بوفيه كبير وجيد ...للاسف لا يوجدكما ان التموينات والمطاعم بعيدة عن مكان الفندق
",Positive,Positive
"ممتاز . كل شي ممتااااااز. لايوجد..
",Positive,Positive
"رائعه . الموقع والهدوء وممتاز للعوائل. فقط غسالة الملابس لا تعمل والشهاده لله لم اخبرهم
",Positive,Positive
"كتاب بفش الغل
",Positive,Negative
"رائع. قربه من المطار وسعره مناسب والنقل. لا يوجد فطور واسعار البوفية غالية ولايوجد بجانبه مطاعم والنقل بالباص للمطار وقت محدد ولم يخبروني انه يوجد رحلتين للمطار احداها لترمنل و واخر ل ترمنل وركبت الساعة فرفض ايصالي وجعلني استقل التاكسي واخذت تاكسي للفندق ايضا عند الوصول للمطار
",Positive,Positive
"لما بقرأ الكتاب دا بجد بحس براحة و طمانينة ان ربنا دايما معايا رغم الاخطاء اللى بعملها من احلى الكتب الدينية اللى قراتها فى حياتى و دا لسهولة كتابته طبعا عشان انا بحب اسلوب ا/مصطفى جداا الاكتر من رائع. يعنى لما قريت الكتاب حاسة كانى بتفرح على البرنامج بظبط
",Positive,Positive
"سلسه ...جميله. وتعليقي ان البطله ما احبته يوما انما احبت ما كان يقدم لها
",Positive,Positive
"تجربة رائعه مع بعض الملاحظات . موظف الاستقبال جدا ممتاز في تعامله واخلاقه اعتقد اسمه محمد فيضه ..اطلالة الغرفة مع الشرفة البلكونة على البحر آخر حلاوة. كان فيه تأخير في تجهيز الغرفة وصلت قرابة ساعة لكن موظف الاستقبال عالج الموقف وايضا مدد وقت خروجي من الفندق الى الساعه المغرب فيه بعض الاوساخ على الكنب الموجود في الغرفة مكواة الملابس كان فيها مشكلة وتم تغييرها مرات حتى اشتغلت اخر وحدة لايوجد شطاف ماء عند كرسي الحمام اكرمكم الله
",Positive,Positive
"هذا هو تذوقي ال ثالث للرطيان ،،. بعد محاولة ثالثة لم اكملها بعد . وبعد ان قرات وصايا في الصباح الباكر تحسمت لاقراها فجأة. وبدات بها ،،. وانتهيت منها في نفس اليوم ،،. لم اشعر بالوقت فقط كنت التهم ورقة تلو الاخرى. من مجموع ورقة. هي كل ما تبقى. لتحكي قصة رجل. اسمه محمد الوطبان او شخص اخر ،،. ويبقى السؤال. هل هو حقيقة. ام نسج خيال ؟؟؟. ما زلت مندهشه. وما زلت استرجع الاحداث عللي استوعب ،،. الحوار مع النفس كان في اوجه وكان يدل على كثير من الصراعات . السيدة تاء ،، هي احد عناصر المجتمع المنحرف يا ترى كم سيدة تاء في الواقع ؟؟ . وكم من محمد وطبان كشخصية مشهورة تختبئ خلف قناع . تنويه : بها الكثير من الايحاءات الجنسية
",Positive,Negative
"انصح به وبشدة . النظافةادوات المطبخ اغلبها موجود وجود غسالة ، ومكواة ، ومكنسة ، كذا تحس انك في بيتك فعلا .الشقة واسعة وفيها شاشات وصالتين رائعهيوجد دورات مياه مفيد للعائلة كثيرة الأطفال يوجد مركز تسوق في الأسف وصرافات آلية ، ومحطة بنزين ، كلها في مكان واحد ، وهذا يوفر الكثير من الوقت والجهد المواقف كثيرة ومضللة. سرير غرفة النوم فيه نزول وهبوط ويحتاج تغيير ، لانه غير مريح والمخدات أيضا غير مريحة سميكة جدا ، صار عندي تصلب في الرقبة
",Positive,Negative
"كما قال الكاتب :. احتفظ بنسخة دائمه منه في مكتبتك لا تفرط بها مهما حدث لترجع اليها كلما دب صلاتك الفتور وزار قلبك الوهن. ...... كتاب يستحق قراءته مرارا. :. كما قال الكاتب : احتفظ بنسخة دائمه منه في مكتبتك لا تفرط بها مهما حدث لترجع اليها كلما دب صلاتك الفتور وزار قلبك الوهن ..... كتاب رائع يستحق القراءة مرارا
",Positive,Positive
"فتشوا عن الموتى فيمن حولكم. هؤلاء الذين لا يتكلمون حينما يأتي وقت الكلام ... ولا يبحثون بعيونهم المفتوحة عن النور عندما يسود الظلام ... ولا يتحركون مهما توالت على وجوههم الصفعات.. لا تحاولوا أن تهبوهم الحياة فهم لن يقبلوا هباتكم. اتركوهم هناك .. لا تدفنوهم في الأرض. فتراب الأرض خلق للحياة لا للموت. لا يستحق تراب الأرض سوى من عاش فوقها حيا .... رواية المرحوم . حزب الكنبة . شعب مصر . ليس صحيحا ان من أنجب لم يمت الحقيقة ان من فعل لم يمت. إفعلوا ولا تتكلموا. صوركم المعلقة على الحوائط ستنزل لا محالة ولن تجدوا بشرا ممن يعرفون صوتكم ليحكي عنكم شيئا ... سيبقى فقط ما فعلتم ..... رواية بديعة عجبتني جدا وشدتني من أول صفحة جديدة في مضمونها والي يركز فيها يطلع بزبد الزبادي :
",Positive,Positive
